what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119247826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119247975
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119248301
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119248456
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119268266
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119269491
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119287852
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119289193
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119314224
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119452463
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1352119465985
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1352119466584
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1352119466982
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352119496094
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1352119497977
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1352119498583
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352119498710
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1352119637103
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1352119642256
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1352119642262
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1352119645485
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.navigate.backwardHistory",1352119645504
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1352119673169
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119676595
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119683298
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1352119688398
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119699046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119701756
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119703072
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119792143
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119796198
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1352119800589
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1352119828882
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119841518
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119843451
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119844319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119844571
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119845259
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119845794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119846270
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1352119847370
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1352119868052
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1352119873479
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1352119879589
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1352119910107
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1352119915368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119925099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119954976
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1352119962073
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1352119962686
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1352119984153
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1352119986275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119990138
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119993434
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119994619
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352119995235
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1352119996770
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352120004128
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352120053316
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1352120062096
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352120075444
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352120079791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352120084132
